http://www.bollywoodhungama.com/movie/badrinath-ki-dulhania/critic-review/,Badrinath ki dulhania,http://stat3.bollywoodhungama.in/wp-content/uploads/2016/04/Badrinath-Ki-Dulhania-2-2.jpg,3.5/5
http://www.bollywoodhungama.com/movie/commando-2/critic-review/,Commando 2,http://media1.bollywoodhungama.in/wp-content/uploads/2016/04/Commando-2-2-1.jpg,2/5
http://www.bollywoodhungama.com/movie/logan-english/critic-review/,Logan english,http://media3.bollywoodhungama.in/wp-content/uploads/2017/03/Logan-2017-Movie-poster.jpg,
http://www.bollywoodhungama.com/movie/rangoon/critic-review/,Rangoon,http://stat3.bollywoodhungama.in/wp-content/uploads/2017/01/Rangoon-04.jpg,2/5
http://www.bollywoodhungama.com/movie/running-shaadi/critic-review/,Running shaadi,http://stat2.bollywoodhungama.in/wp-content/uploads/2016/03/Running-Shaadi-Reviews.jpg,3.0/5
http://www.bollywoodhungama.com/movie/the-ghazi-attack/critic-review/,The ghazi attack,http://media1.bollywoodhungama.in/wp-content/uploads/2016/12/The-Ghazi-Attack-2.jpg,4/5
http://www.bollywoodhungama.com/movie/jolly-llb-2/critic-review/,Jolly llb 2,http://media3.bollywoodhungama.in/wp-content/uploads/2016/03/JoLLy-LLB-2-9.jpg,3.5/5
http://www.bollywoodhungama.com/movie/raees-2/critic-review/,Raees 2,http://media1.bollywoodhungama.in/wp-content/uploads/2016/03/Raees1-1.jpg,2.5/5
http://www.bollywoodhungama.com/movie/kaabil/critic-review/,Kaabil,http://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Kaabil-1-3.jpg,3/5
http://www.bollywoodhungama.com/movie/xxx-the-return-of-xander-cage-english/critic-review/,Xxx the return of xander cage english,http://media1.bollywoodhungama.in/wp-content/uploads/2016/12/xXx-The-Return-of-Xander-Cage-English-1.jpg,2.0/5
http://www.bollywoodhungama.com/movie/ok-jaanu/critic-review/,Ok jaanu,http://stat2.bollywoodhungama.in/wp-content/uploads/2017/01/Ok-Jaanu-2.jpg,3/5
http://www.bollywoodhungama.com/movie/dangal/critic-review/,Dangal,http://media2.bollywoodhungama.in/wp-content/uploads/2016/03/Dangal-1.jpg,4.5/5
http://www.bollywoodhungama.com/movie/rogue-one-star-wars-story/critic-review/,Rogue one star wars story,http://media2.bollywoodhungama.in/wp-content/uploads/2016/12/Rogue-One-A-Star-Wars-Story.jpg,2/5
http://www.bollywoodhungama.com/movie/wajah-tum-ho/critic-review/,Wajah tum ho,http://stat3.bollywoodhungama.in/wp-content/uploads/2016/11/Wajah-Tum-Ho.jpg,2.0/5
http://www.bollywoodhungama.com/movie/befikre/critic-review/,Befikre,http://media1.bollywoodhungama.in/wp-content/uploads/2016/09/Befikre-02.jpg,3/5
http://www.bollywoodhungama.com/movie/moana-english/critic-review/,Moana english,http://media2.bollywoodhungama.in/wp-content/uploads/2016/11/Moana.jpg,
http://www.bollywoodhungama.com/movie/kahaani-2/critic-review/,Kahaani 2,http://stat2.bollywoodhungama.in/wp-content/uploads/2016/10/Kahaani-2-3.jpg,3.5/5
http://www.bollywoodhungama.com/movie/dear-zindagi/critic-review/,Dear zindagi,http://media2.bollywoodhungama.in/wp-content/uploads/2016/05/Dear-Zindagi-2.jpg,2/5
http://www.bollywoodhungama.com/movie/fantastic-beasts-find-english/critic-review/,Fantastic beasts find english,http://media2.bollywoodhungama.in/wp-content/uploads/2016/11/Fantastic-Beasts-and-Where-to-Find-Them-3.jpg,1.0/5
